buy-in date,sell-by date,shareholding,stock selection results,date of selection,whether stock selection date,position yield,index yield
2014-2-7,2014-2-28,长春一东(sh600148) 凤竹纺织(sh600493) 大连热电(sh600719) 博闻科技(sh600883) 渝三峡Ａ(sz000565) 蓝鼎控股(sz000971) 通达动力(sz002576) 天龙集团(sz300063) 鸿特精密(sz300176) 银禧科技(sz300221) ,中发科技(sh600520) 大连热电(sh600719) 博闻科技(sh600883) 渝三峡Ａ(sz000565) 汇源通信(sz000586) 天兴仪表(sz000710) 天龙集团(sz300063) 鸿特精密(sz300176) 银禧科技(sz300221) 同大股份(sz300321) ,2014-1-30,TRUE,0.065366602,-0.010660855
2014-3-3,2014-3-31,中发科技(sh600520) 大连热电(sh600719) 博闻科技(sh600883) 渝三峡Ａ(sz000565) 汇源通信(sz000586) 天兴仪表(sz000710) 天龙集团(sz300063) 鸿特精密(sz300176) 银禧科技(sz300221) 同大股份(sz300321) ,长春一东(sh600148) 大连热电(sh600719) 深天地Ａ(sz000023) 吉林化纤(sz000420) 汇源通信(sz000586) 湘潭电化(sz002125) 龙生股份(sz002625) 天龙集团(sz300063) 亿通科技(sz300211) 温州宏丰(sz300283) ,2014-2-28,TRUE,0.012864109,-0.014993323
2014-4-1,2014-4-30,长春一东(sh600148) 大连热电(sh600719) 深天地Ａ(sz000023) 吉林化纤(sz000420) 汇源通信(sz000586) 湘潭电化(sz002125) 龙生股份(sz002625) 天龙集团(sz300063) 亿通科技(sz300211) 温州宏丰(sz300283) ,林海股份(sh600099) 天兴仪表(sz000710) 美利纸业(sz000815) 三变科技(sz002112) 安纳达(sz002136) 天龙集团(sz300063) 新开源(sz300109) 坚瑞消防(sz300116) 元力股份(sz300174) 金运激光(sz300220) ,2014-3-31,TRUE,0.060562835,0.005758748
2014-5-5,2014-5-30,林海股份(sh600099) 天兴仪表(sz000710) 美利纸业(sz000815) 三变科技(sz002112) 安纳达(sz002136) 天龙集团(sz300063) 新开源(sz300109) 坚瑞消防(sz300116) 元力股份(sz300174) 金运激光(sz300220) ,亚星客车(sh600213) 思达高科(sz000676) 江苏三友(sz002044) 三变科技(sz002112) 安纳达(sz002136) 新嘉联(sz002188) 康耐特(sz300061) 天龙集团(sz300063) 元力股份(sz300174) 同大股份(sz300321) ,2014-4-30,TRUE,0.078864545,-0.001019151
2014-6-3,2014-6-30,亚星客车(sh600213) 思达高科(sz000676) 江苏三友(sz002044) 三变科技(sz002112) 安纳达(sz002136) 新嘉联(sz002188) 康耐特(sz300061) 天龙集团(sz300063) 元力股份(sz300174) 同大股份(sz300321) ,恒丰纸业(sh600356) 新五丰(sh600975) 渝三峡Ａ(sz000565) 思达高科(sz000676) 江苏三友(sz002044) 安纳达(sz002136) 九鼎新材(sz002201) 天龙集团(sz300063) 元力股份(sz300174) 同大股份(sz300321) ,2014-5-30,TRUE,0.120526193,0.004015841
2014-7-1,2014-7-31,恒丰纸业(sh600356) 新五丰(sh600975) 渝三峡Ａ(sz000565) 思达高科(sz000676) 江苏三友(sz002044) 安纳达(sz002136) 九鼎新材(sz002201) 天龙集团(sz300063) 元力股份(sz300174) 同大股份(sz300321) ,恒丰纸业(sh600356) 江苏三友(sz002044) 新嘉联(sz002188) 九鼎新材(sz002201) 东光微电(sz002504) 康耐特(sz300061) 天龙集团(sz300063) 坚瑞消防(sz300116) 瑞丰高材(sz300243) 同大股份(sz300321) ,2014-6-30,TRUE,0.087120808,0.085505653
2014-8-1,2014-8-29,恒丰纸业(sh600356) 江苏三友(sz002044) 新嘉联(sz002188) 九鼎新材(sz002201) 东光微电(sz002504) 康耐特(sz300061) 天龙集团(sz300063) 坚瑞消防(sz300116) 瑞丰高材(sz300243) 同大股份(sz300321) ,天目药业(sh600671) 新五丰(sh600975) 河池化工(sz000953) 湘潭电化(sz002125) 安纳达(sz002136) 法因数控(sz002270) 世纪游轮(sz002558) 棒杰股份(sz002634) 元力股份(sz300174) 汇冠股份(sz300282) ,2014-7-31,TRUE,0.122953992,-0.00508882
2014-9-1,2014-9-30,天目药业(sh600671) 新五丰(sh600975) 河池化工(sz000953) 湘潭电化(sz002125) 安纳达(sz002136) 法因数控(sz002270) 世纪游轮(sz002558) 棒杰股份(sz002634) 元力股份(sz300174) 汇冠股份(sz300282) ,鲁北化工(sh600727) 冀东装备(sz000856) 乐通股份(sz002319) 中联电气(sz002323) 鼎泰新材(sz002352) 圣阳股份(sz002580) 康耐特(sz300061) 坚瑞消防(sz300116) 元力股份(sz300174) 同大股份(sz300321) ,2014-8-29,TRUE,0.230137814,0.048197614
2014-10-8,2014-10-31,鲁北化工(sh600727) 冀东装备(sz000856) 乐通股份(sz002319) 中联电气(sz002323) 鼎泰新材(sz002352) 圣阳股份(sz002580) 康耐特(sz300061) 坚瑞消防(sz300116) 元力股份(sz300174) 同大股份(sz300321) ,林海股份(sh600099) 新五丰(sh600975) 美锦能源(sz000723) 兰州黄河(sz000929) 国统股份(sz002205) 鼎泰新材(sz002352) 康耐特(sz300061) 长城集团(sz300089) 坚瑞消防(sz300116) 依米康(sz300249) ,2014-9-30,TRUE,0.035078795,0.023394628
2014-11-3,2014-11-28,林海股份(sh600099) 新五丰(sh600975) 美锦能源(sz000723) 兰州黄河(sz000929) 国统股份(sz002205) 鼎泰新材(sz002352) 康耐特(sz300061) 长城集团(sz300089) 坚瑞消防(sz300116) 依米康(sz300249) ,吉林化纤(sz000420) 美锦能源(sz000723) 冀东装备(sz000856) 鼎泰新材(sz002352) 丽鹏股份(sz002374) 棒杰股份(sz002634) 康耐特(sz300061) 长城集团(sz300089) 鸿特精密(sz300176) 海联讯(sz300277) ,2014-10-31,TRUE,0.070211253,0.119796837
